ticker,ann_date,entry_day,surprise,ear,fwd_1,fwd_5,fwd_20,fwd_60
HON,2005-10-19,2005-10-20,2.8,-0.07025504645529934,-0.00840585897972368,-0.002155640423535443,0.038982430989247474,0.023985564214911825
HON,2005-07-20,2005-07-21,6.93,0.02743909992358995,-0.015503737157589792,-0.0033988216660900683,-0.0006699652422725855,-0.029323746414798735
HON,2005-04-20,2005-04-21,4.88,-0.008760451560051563,-0.005005105982340274,0.0035050090844106485,-0.0009794312746860268,-0.0429507392163484
HON,2005-01-28,2005-01-31,-0.61,-0.00760503061646145,-0.004123435207778359,0.03136225756318578,0.026821497647190773,0.03331914844609729
MMM,2026-01-20,2026-01-21,1.79,-0.061986304570440964,0.02524890764479415,-0.014234256781066046,0.06492081083816281,-0.043008734183105024
MMM,2025-10-21,2025-10-22,5.6,0.08565046039397217,0.02020185570716282,-0.044882498565619655,0.008135132152450986,-0.08006729672202939
MMM,2025-07-18,2025-07-21,7.37,-0.040271809351648424,-0.010743923693446122,-0.018032383965785437,-0.02284693112318248,-0.05342098519800609
MMM,2025-04-22,2025-04-23,6.42,0.03715423120092254,-0.0003229660434063142,-0.014763585943903257,0.009441396712021266,-0.049138937954774864
MMM,2025-01-21,2025-01-22,9.32,0.0425375460628461,-0.0020379401137167186,0.02386318034787238,-0.0018337765053249022,0.006852375576150149
MMM,2024-10-22,2024-10-23,4.13,-0.041730888590759685,-0.013420608430899428,-0.006231258194832168,-0.01687579327017108,0.11926647154809844
MMM,2024-07-26,2024-07-29,14.92,0.19876776916705663,0.017770235955459235,0.045866322984931096,0.02970478270513799,-0.015901214001451836
MMM,2024-04-30,2024-05-01,13.15,0.08717935111112818,-0.025911885927950684,-0.05488761305419543,-0.03999881855540721,0.18799413127566678
MMM,2024-01-23,2024-01-24,4.61,-0.14083936234250616,0.023947735655401647,0.01707616183421279,-0.03995335771148523,0.17991870161865453
MMM,2023-10-24,2023-10-25,14.23,0.0511967915385354,0.003696172524485064,0.0008508659753843073,-0.006050482616694053,-0.07392820721898552
MMM,2023-07-25,2023-07-26,23.34,0.07738796064569153,-0.006242694310913621,-0.021303434979528912,-0.07469457914363897,-0.15499763337762884
MMM,2023-04-25,2023-04-26,23.44,-0.0003270014115722697,0.003508188169214721,-0.00992562594056623,-0.059936416844560414,-0.0989119027612535
MMM,2023-01-24,2023-01-25,-3.81,-0.07832538481636031,-0.005500484973329334,-0.00015720126961271674,-0.023603007413322774,-0.0961043386773257
MMM,2022-10-25,2022-10-26,3.83,0.0281787655393968,0.006154749499009737,0.020020439036637305,0.002009559964456953,-0.10418027484319448
MMM,2022-07-26,2022-07-27,1.65,0.021513548303861985,-0.001668206225903912,-9.509271615537607e-05,-0.005370236712450183,-0.09197789513122712
MMM,2022-04-26,2022-04-27,14.43,-0.0033118158057861002,-0.004942126139189318,0.04122690615913127,0.06886345367960367,-0.012659472553841034
MMM,2022-01-25,2022-01-26,14.6,-0.0055671793859531915,0.010017421401001814,-0.07090350605087636,-0.1312844224204509,-0.09650180704618094
MMM,2021-10-26,2021-10-27,10.94,-0.01927237264351478,-0.0005040644703988573,-0.0013620614642955164,-0.02945788223019452,0.005026164687276347
MMM,2021-07-27,2021-07-28,13.77,-0.011843920718461964,-0.004701962497640655,-0.004124489371740259,-0.035359548408292585,-0.11143602810580777
MMM,2021-04-27,2021-04-28,20.79,-0.01803125437163844,0.009551299272442915,0.03207531263842944,0.03240665016797806,-0.026645413828459974
MMM,2021-01-26,2021-01-27,9.79,0.12139112916693529,-0.025904742270168035,-0.07971559403633033,-0.05553223446549693,-0.02446517587757957
MMM,2020-10-27,2020-10-28,7.2,-0.008410729282117169,-0.010479066368274004,-0.041393122010434436,0.016723065169497398,-0.06041383751016127
MMM,2020-07-28,2020-07-29,-1.06,-0.048698657820269164,-0.02286403779467794,-0.027259496424531626,-0.010543264108733963,0.038298702107188554
